idnumber,title,artistcalc,datemade,materials,measurement
1992.4.57,It Is Almost That,"Cha, Theresa Hak Kyung",1977,"Typewritten text, pencil and black pen on paper. 3 pages. Photocopy. 1 page.",11 x 8 1/2 in.
1992.4.58,It Is Almost That,"Cha, Theresa Hak Kyung",1977,Pencil on paper. 4 pages.,11 x 8 1/2 in.
1992.4.59,Repetitive Pattern,"Cha, Theresa Hak Kyung",1975,black ink on cloth sewn with white thread to cloth,46 x 46 in.
1992.4.60,Untitled (White),"Cha, Theresa Hak Kyung",1982,Gouache and pencil on paper.,9 x 12 in.
1992.4.61,Untitled (Gris),"Cha, Theresa Hak Kyung",1982,Gouache and pencil on white heavy stock paper.,9 x 12 in.
1992.4.62,Audience Distant Relative,"Cha, Theresa Hak Kyung",1977,Artist's book. Black print on 7 sheets of white paper. Printed on both sides. (3 copies),11 x 8 1/2 in.
1992.4.63,Audience Distant Relative,"Cha, Theresa Hak Kyung",1977,7 sheets printed black on white paper.,12 x 9 1/2 in.
1992.4.64,Audience Distant Relative,"Cha, Theresa Hak Kyung",1977,"Typewritten text, blue pen, and black pen on yellow paper.",11 x 8 1/2 in.
1992.4.65,Audience Distant Relative,"Cha, Theresa Hak Kyung",1978,Exhibition card printed black on white card stock.,4 1/4 x 6 in.
1992.4.66,The Solar Cavern,"Cha, Theresa Hak Kyung",1978,"offset printing on paper, staple-bound, thirty-two pages",10 15/16 x 8 3/8 in. (closed)
1992.4.67,Faire-Part,"Cha, Theresa Hak Kyung",1976,Black press type and black ink on 15 envelopes.,4 1/2 x 6 in.
1992.4.68,Untitled,"Cha, Theresa Hak Kyung",nd,"Yellow, orange, green and blue acrylic on white handmade paper. The work is mounted on black press board.",20 x 16 in.
1992.4.69,Untitled,"Cha, Theresa Hak Kyung",nd,Paper collage on press board.,18 x 12 in.
1992.4.70,Translations From A Willow Tree (film),"Cha, Theresa Hak Kyung",1976,Super-8. 4 minutes. 24 frames per second?,
1992.4.71,Permutations (film),"Cha, Theresa Hak Kyung",1976,Super-8. 6 minutes. 24 frames per second?,
1992.4.72,Untitled (Paris) (film),"Cha, Theresa Hak Kyung",1976,Super-8. 3 minutes. 24 frames per second?,
1992.4.73,Moon...Sun (film),"Cha, Theresa Hak Kyung",1973,Super-8. 3 minutes. 18 frames per second?,
1992.4.74,Trip & Theresa (film),"Cha, Theresa Hak Kyung",nd,Super-8.  3 minutes. 24 frames per second.,
1992.4.75,Untitled (Paper) (film),"Cha, Theresa Hak Kyung",nd,Super-8. 3 minutes. 24 frames per second?,
1992.4.76,Untitled (France/ Jardin),"Cha, Theresa Hak Kyung",1976,Super-8. 3 minutes. 24 frames per second?,
1992.4.77,Passages Paysages (film),"Cha, Theresa Hak Kyung",1978,Super-8.  3 minutes. 24 frames per second?,
1992.4.78,Passages Paysages (film),"Cha, Theresa Hak Kyung",1978,Super-8.  3 minutes. 24 frames per second?,
1992.4.79,Passages Paysages (film),"Cha, Theresa Hak Kyung",1978,Super-8. 2 minutes. 24 frames per second?,
1992.4.80,Passages Paysages (film),"Cha, Theresa Hak Kyung",1978,Super-8.  3 minutes. 24 frames per second?,
1992.4.81,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Diary with handwritten entries in ink and pencil. Soft bound. 64 pages.,10 x 7 in.
1992.4.82,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Typewritten text on typing paper. 6 sheets of paper.,11 x 8 1/2 in.
1992.4.83,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Film scenario. Text is bound between paper cover with metal fastener or stapled to front cover. Pages are photocopies. 30 pages.,11 1/2 x 9 in.
1992.4.84,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,"Typewritten text, pencil and black pen on white paper, yellow paper, graph paper, photocopies and white card stock. 35 pages.",11 3/4 x 8 1/4 in.
1992.4.85,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1979,"Photocopy with business card stapled to the upper left corner, 2 pages. Photocopy, 2 pages.",11 x 8 1/2 in.
1992.4.86,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Typewritten letter on paper.,11 x 8 1/2 in.
1992.4.87,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,4 color transparencies. 4 color slides. 2 color photographs,5 x 5 in.
1992.4.88,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Letter. Photocopy with 2 photocopied strips of text attached.,6 1/4 x 8 1/2 in.
1992.4.89,White Dust From Mongolia (Memory),"Cha, Theresa Hak Kyung",1980,Gouache and pencil on paper.,4 1/2 x 6 in.
1992.4.90,White Dust From Mongolia (Memory),"Cha, Theresa Hak Kyung",1980,Gouache and pencil on paper.,4 1/2 x 6 in.
1992.4.91,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Typewritten text on paper. 4 pages.,11 x 8 1/2 in.
1992.4.92,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Red pen on pink paper.,11 x 8 1/2 in.
1992.4.93,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Typewritten text on paper. 2 pages.,11 x 8 1/2 in.
1992.4.94,White Dust From Mongolia (Korea Sud-Blue/Nord-Red),"Cha, Theresa Hak Kyung",1980,Pencil on white card stock.,6 x 4 1/2 in.
1992.4.95,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,Typewritten text on paper. Hand addition in pencil.,4 3/4 x 5 1/4 in.
1992.4.96,White Dust From Mongolia,"Cha, Theresa Hak Kyung",1980,A black and white film negative.,3 x 1 1/2 in.
1992.4.97,Line,"Cha, Theresa Hak Kyung",1978,Poster/flyer printed black on white glossy paper.,11 x 17 in.
1992.4.98,Line,"Cha, Theresa Hak Kyung",1978,"Typewritten letter on paper. 2 rubberstamp impressions. High Performance. Periodical. Vol 1. No 1. Feb. LA., CA. 1978. 48 pages.",11 x 8 1/2 in.
1992.4.99,"Other Things Seen, Other Things Heard","Cha, Theresa Hak Kyung",1978,11 strips of black and white film negatives.,9 1/4 x 1 1/2 in.
1992.4.100,"Other Things Seen, Other Things Heard","Cha, Theresa Hak Kyung",1978,2 black-and-white contact sheets with red pen hand additions,8 x 10 in.
